Date,Open,High,Low,Close,Adj Close,Volume
May 21 2025,6.66,6.69,6.64,6.65,6.65,47834101
May 19 2025,6.66,6.71,6.62,6.65,6.65,81465439
May 12 2025,6.65,6.77,6.58,6.68,6.68,278852879
May 5 2025,6.49,6.70,6.47,6.66,6.66,283980492
Apr 28 2025,6.72,6.83,6.44,6.49,6.49,239727184
Apr 21 2025,6.77,6.84,6.71,6.72,6.72,243036686
Apr 14 2025,6.62,6.85,6.57,6.77,6.77,379894841
Apr 7 2025,6.50,6.76,6.30,6.65,6.65,684180376
Mar 31 2025,6.56,6.64,6.46,6.63,6.63,251153584
Mar 24 2025,6.46,6.62,6.40,6.56,6.56,341753138
Mar 17 2025,6.53,6.55,6.40,6.46,6.46,385576801
Mar 10 2025,6.50,6.55,6.47,6.52,6.52,297275421
Mar 3 2025,6.73,6.77,6.50,6.51,6.51,289566001
Feb 24 2025,6.75,6.80,6.61,6.70,6.70,313296011
Feb 17 2025,6.77,6.98,6.73,6.76,6.76,491126919
Feb 10 2025,6.56,6.80,6.55,6.79,6.79,429570186
Feb 3 2025,6.65,6.65,6.46,6.60,6.60,277629695
Jan 27 2025,6.45,6.70,6.45,6.65,6.65,181453801
Jan 20 2025,6.37,6.46,6.21,6.43,6.43,517289880
Jan 13 2025,6.21,6.43,6.15,6.35,6.35,604035590
Jan 6 2025,6.66,6.70,6.22,6.24,6.24,525464699
Dec 30 2024,6.79,6.87,6.57,6.68,6.68,458788994
Dec 23 2024,6.83,6.92,6.74,6.80,6.80,604101160
Dec 16 2024,6.87,7.00,6.82,6.83,6.83,446213988
Dec 9 2024,6.93,7.02,6.84,6.88,6.88,403964086
Dec 2 2024,6.82,6.95,6.78,6.94,6.94,344719728
Nov 25 2024,6.68,6.85,6.64,6.81,6.81,306620478
Nov 18 2024,6.84,6.99,6.66,6.67,6.67,446581229
Nov 11 2024,6.71,6.85,6.62,6.80,6.80,447769610
Nov 4 2024,6.58,6.82,6.52,6.75,6.75,444944012
Oct 28 2024,6.58,6.59,6.38,6.58,6.58,482799578
Oct 21 2024,6.76,6.84,6.54,6.58,6.45,480175248
Oct 14 2024,6.64,6.79,6.59,6.75,6.62,504071071
Oct 7 2024,7.48,7.52,6.53,6.63,6.50,875514949
Sep 30 2024,6.64,6.88,6.57,6.86,6.73,329626188
Sep 23 2024,6.01,6.61,6.01,6.51,6.39,525544178
Sep 16 2024,5.92,6.06,5.89,6.02,5.91,177371423
Sep 9 2024,6.15,6.16,5.84,5.92,5.81,356246688
Sep 2 2024,6.10,6.26,6.07,6.15,6.03,421717901
Aug 26 2024,6.81,6.82,6.06,6.11,5.99,634308493
Aug 19 2024,6.87,6.92,6.75,6.82,6.69,243075500
Aug 12 2024,6.82,6.91,6.78,6.87,6.74,209575937
Aug 5 2024,6.97,7.00,6.85,6.86,6.73,296396825
Jul 29 2024,6.95,7.10,6.93,6.98,6.85,401269720
Jul 22 2024,6.96,7.03,6.90,6.95,6.82,362889934
Jul 15 2024,6.75,6.99,6.71,6.96,6.83,327661239
Jul 8 2024,7.20,7.25,6.73,6.75,6.27,400092638
Jul 1 2024,7.16,7.32,7.15,7.25,6.73,381865927
Jun 24 2024,7.08,7.17,7.02,7.16,6.65,363211044
Jun 17 2024,7.17,7.19,7.06,7.09,6.58,348133035
Jun 10 2024,7.23,7.26,7.12,7.17,6.66,351968833
Jun 3 2024,7.07,7.24,7.03,7.23,6.71,420229521
May 27 2024,7.08,7.13,7.06,7.07,6.56,313969852
May 20 2024,7.10,7.13,7.05,7.08,6.57,386561337
May 13 2024,7.07,7.16,7.04,7.10,6.59,446394628
May 6 2024,6.95,7.09,6.91,7.07,6.56,712062282
Apr 29 2024,7.25,7.27,6.92,6.92,6.43,711028706
Apr 22 2024,7.59,7.65,7.40,7.44,6.91,488370258
Apr 15 2024,7.52,7.70,7.47,7.61,7.07,606303970
Apr 8 2024,7.41,7.55,7.36,7.51,6.97,446664494
Apr 1 2024,7.34,7.44,7.34,7.41,6.88,219021062
Mar 25 2024,7.30,7.37,7.26,7.36,6.83,374678384
Mar 18 2024,7.32,7.38,7.26,7.31,6.79,354044837
Mar 11 2024,7.42,7.45,7.23,7.33,6.81,558234294
Mar 4 2024,7.43,7.54,7.39,7.44,6.91,756436488
Feb 26 2024,7.68,7.69,7.40,7.44,6.91,943220890
Feb 19 2024,7.42,7.82,7.33,7.67,7.12,992073910
Feb 5 2024,7.46,7.62,7.32,7.43,6.90,1128092708
Jan 29 2024,7.46,7.56,7.36,7.46,6.93,811848938
Jan 22 2024,7.29,7.48,7.11,7.47,6.94,495178934
Jan 15 2024,7.35,7.44,7.18,7.31,6.79,408434485
Jan 8 2024,7.37,7.43,7.28,7.36,6.83,481161106
Jan 1 2024,7.21,7.41,7.19,7.37,6.84,427632232
Dec 25 2023,7.22,7.28,7.15,7.21,6.69,334991195
Dec 18 2023,7.19,7.30,7.15,7.23,6.71,291528173
Dec 11 2023,7.31,7.37,7.17,7.19,6.68,344687837
Dec 4 2023,7.30,7.34,7.16,7.33,6.81,297097709
Nov 27 2023,7.13,7.34,7.09,7.30,6.78,226458620
Nov 20 2023,7.04,7.16,7.02,7.15,6.64,164923041
Nov 13 2023,7.11,7.13,7.04,7.04,6.54,182729486
Nov 6 2023,7.17,7.19,7.08,7.12,6.61,179209593
Oct 30 2023,7.20,7.28,7.12,7.17,6.66,211707292
Oct 23 2023,7.08,7.32,7.06,7.20,6.69,247543165
Oct 16 2023,7.30,7.34,7.07,7.08,6.57,212802620
Oct 9 2023,7.28,7.32,7.19,7.29,6.77,209895008
Oct 2 2023,7.29,7.29,7.29,7.29,6.77,-
Sep 25 2023,7.29,7.38,7.25,7.29,6.77,185907604
Sep 18 2023,7.30,7.36,7.22,7.28,6.76,233551873
Sep 11 2023,7.22,7.42,7.21,7.30,6.78,262950388
Sep 4 2023,7.16,7.29,7.15,7.22,6.70,163266867
Aug 28 2023,7.44,7.48,7.12,7.16,6.65,291104482
Aug 21 2023,7.29,7.41,7.23,7.31,6.79,304266169
Aug 14 2023,7.03,7.31,6.98,7.28,6.76,222838851
Aug 7 2023,7.10,7.16,7.03,7.05,6.55,115373129
Jul 31 2023,7.23,7.28,7.09,7.10,6.59,162035059
Jul 24 2023,7.18,7.25,7.09,7.22,6.70,164515285
Jul 17 2023,7.10,7.27,7.06,7.18,6.67,147150585
Jul 10 2023,7.57,7.63,6.99,7.10,6.17,166793941
Jul 3 2023,7.43,7.62,7.38,7.56,6.57,125625042
Jun 26 2023,7.36,7.52,7.20,7.43,6.45,153097295
Jun 19 2023,7.43,7.44,7.31,7.36,6.39,100677011
Jun 12 2023,7.75,7.76,7.42,7.43,6.45,150757616
Jun 5 2023,7.47,7.76,7.40,7.74,6.72,172297451
May 29 2023,7.56,7.79,7.42,7.45,6.47,217178234
May 22 2023,7.60,7.68,7.33,7.59,6.59,180824839
May 15 2023,7.74,7.86,7.56,7.64,6.64,245009060
May 8 2023,7.92,8.21,7.63,7.74,6.72,460842527
May 1 2023,7.70,8.05,7.65,7.92,6.88,187678002
Apr 24 2023,7.59,7.77,7.50,7.70,6.69,176046043
Apr 17 2023,7.45,7.75,7.42,7.56,6.57,177483050
Apr 10 2023,7.20,7.48,7.07,7.45,6.47,177572791
Apr 3 2023,7.20,7.32,7.14,7.17,6.23,108043840
Mar 27 2023,7.30,7.30,7.12,7.19,6.25,125902465
Mar 20 2023,7.38,7.54,7.22,7.28,6.32,205667947
Mar 13 2023,7.15,7.43,7.13,7.36,6.39,217731474
Mar 6 2023,7.06,7.39,7.05,7.11,6.18,285334955
Feb 27 2023,6.77,7.08,6.76,7.06,6.13,173805450
Feb 20 2023,6.67,6.83,6.65,6.77,5.88,101340547
Feb 13 2023,6.71,6.73,6.63,6.65,5.78,114116436
Feb 6 2023,6.64,6.72,6.61,6.69,5.81,93533700
Jan 30 2023,6.72,6.74,6.64,6.65,5.78,130177499
Jan 23 2023,6.70,6.70,6.70,6.70,5.82,-
Jan 16 2023,6.69,6.71,6.62,6.70,5.82,104654125
Jan 9 2023,6.58,6.69,6.52,6.68,5.80,153341041
Jan 2 2023,6.68,6.74,6.55,6.58,5.72,135288864
Dec 26 2022,6.57,6.69,6.52,6.68,5.80,93624763
Dec 19 2022,6.73,6.73,6.51,6.57,5.71,112835299
Dec 12 2022,6.72,6.80,6.60,6.73,5.85,139599397
Dec 5 2022,6.83,6.95,6.67,6.76,5.87,172378620
Nov 28 2022,6.78,6.89,6.66,6.77,5.88,139014737
Nov 21 2022,6.48,6.82,6.41,6.80,5.91,183732664
Nov 14 2022,6.61,6.68,6.48,6.48,5.63,159417332
Nov 7 2022,6.60,6.66,6.48,6.62,5.75,121519303
Oct 31 2022,6.50,6.65,6.36,6.61,5.74,163546230
Oct 24 2022,6.90,6.90,6.48,6.50,5.65,202614787
Oct 17 2022,6.70,7.05,6.69,6.86,5.96,216180539
Oct 10 2022,6.70,6.82,6.66,6.69,5.81,170391215
Oct 3 2022,6.77,6.77,6.77,6.77,5.88,-
Sep 26 2022,6.74,6.82,6.56,6.77,5.88,169799577
Sep 19 2022,6.65,6.87,6.57,6.77,5.88,193525390
Sep 12 2022,6.68,6.85,6.63,6.67,5.79,208365123
Sep 5 2022,6.51,6.71,6.48,6.68,5.80,178390546
Aug 29 2022,6.34,6.58,6.32,6.50,5.65,190092831
Aug 22 2022,6.26,6.39,6.24,6.36,5.52,133053466
Aug 15 2022,6.20,6.31,6.18,6.26,5.44,93254142
Aug 8 2022,6.11,6.23,6.07,6.22,5.40,97541210
Aug 1 2022,6.04,6.12,5.95,6.11,5.31,134146562
Jul 25 2022,6.07,6.08,6.03,6.05,5.26,73121907
Jul 18 2022,6.05,6.08,6.02,6.05,5.26,71709439
Jul 11 2022,6.06,6.13,6.02,6.02,5.23,105886583
Jul 4 2022,6.62,6.71,6.05,6.06,4.88,249773843
Jun 27 2022,6.57,6.63,6.51,6.61,5.33,179225230
Jun 20 2022,6.64,6.66,6.54,6.56,5.29,138858815
Jun 13 2022,6.69,6.78,6.59,6.65,5.36,180619559
Jun 6 2022,6.66,6.75,6.57,6.71,5.41,178607221
May 30 2022,6.77,6.82,6.66,6.67,5.37,99854265
May 23 2022,6.57,6.78,6.54,6.76,5.45,153809959
May 16 2022,6.57,6.59,6.44,6.57,5.29,137334753
May 9 2022,6.50,6.59,6.46,6.58,5.30,158867055
May 2 2022,6.66,6.73,6.45,6.50,5.24,94760482
Apr 25 2022,6.98,7.08,6.59,6.66,5.37,300392863
Apr 18 2022,6.78,7.06,6.69,7.00,5.64,243384696
Apr 11 2022,6.90,7.01,6.72,6.76,5.45,264449537
Apr 4 2022,6.88,6.97,6.80,6.90,5.56,110615888
